Elapsed Time,Bank,EEPROM,Failures
1, 1, 6, 1792000
1, 1, 7, 1792000
1, 0, 0, 15000
1, 0, 1, 15000
1, 0, 2, 15000
1, 0, 3, 15000
1, 0, 4, 7680000
1, 0, 5, 7680000
1, 0, 6, 7680000
1, 0, 7, 7680000
1, 1, 0, 480000
1, 1, 1, 480000
1, 1, 2, 480000
1, 1, 3, 480000
1, 1, 4, 1920000
1, 1, 5, 1920000
1, 1, 6, 1920000
1, 1, 7, 1920000
1, 0, 0, 16000
1, 0, 1, 16000
1, 0, 2, 16000
1, 0, 3, 16000
1, 0, 4, 8192000
1, 0, 5, 8192000
1, 0, 6, 8192000
1, 0, 7, 8192000
1, 1, 0, 512000
1, 1, 1, 512000
1, 1, 2, 512000
1, 1, 3, 512000
1, 1, 4, 2048000
1, 1, 5, 2048000
1, 1, 6, 2048000
1, 1, 7, 2048000
1, 0, 0, 17000
1, 0, 1, 17000
1, 0, 2, 17000
1, 0, 3, 17000
1, 0, 4, 8704000
1, 0, 5, 8704000
1, 0, 6, 8704000
1, 0, 7, 8704000
1, 1, 0, 544000
1, 1, 1, 544000
1, 1, 2, 544000
1, 1, 3, 544000
1, 1, 4, 2176000
1, 1, 5, 2176000
1, 1, 6, 2176000
1, 1, 7, 2176000
1, 0, 0, 18000
1, 0, 1, 18000
1, 0, 2, 18000
1, 0, 3, 18000
1, 0, 4, 9216000
1, 0, 5, 9216000
1, 0, 6, 9216000
1, 0, 7, 9216000
1, 1, 0, 576000
1, 1, 1, 576000
1, 1, 2, 576000
1, 1, 3, 576000
1, 1, 4, 2304000
1, 1, 5, 2304000
1, 1, 6, 2304000
1, 1, 7, 2304000
1, 0, 0, 19000
1, 0, 1, 19000
1, 0, 2, 19000
1, 0, 3, 19000
1, 0, 4, 9728000
1, 0, 5, 9728000
1, 0, 6, 9728000
1, 0, 7, 9728000
1, 1, 0, 608000
1, 1, 1, 608000
1, 1, 2, 608000
1, 1, 3, 608000
1, 1, 4, 2432000
1, 1, 5, 2432000
1, 1, 6, 2432000
1, 1, 7, 2432000
1, 0, 0, 20000
1, 0, 1, 20000
1, 0, 2, 20000
1, 0, 3, 20000
2, 0, 4, 10240000
2, 0, 5, 10240000
2, 0, 6, 10240000
2, 0, 7, 10240000
2, 1, 0, 640000
2, 1, 1, 640000
2, 1, 2, 640000
2, 1, 3, 640000
2, 1, 4, 2560000
2, 1, 5, 2560000
2, 1, 6, 2560000
2, 1, 7, 2560000
